z_m,ux_rms_m_s,uy_rms_m_s,uz_rms_m_s,centerline_duz_m_s
4.119791666666667,0.0029996128,0.0028336847,0.0117873065,-0.082703955
4.130208333333334,0.0030075323,0.002890704,0.011792042,-0.08210366
4.140625,0.0030173168,0.002949096,0.011799815,-0.08133393
4.151041666666667,0.0030291423,0.0030086385,0.0118108075,-0.08038983
4.161458333333334,0.0030432318,0.0030692045,0.01182503,-0.07927327
4.171875,0.0030599507,0.0031307014,0.011842596,-0.077986464
4.182291666666667,0.0030794083,0.0031931153,0.011863549,-0.07654241
4.192708333333334,0.0031017999,0.0032565228,0.01188791,-0.074950755
4.203125,0.0031272755,0.003321024,0.011915705,-0.07322033
4.213541666666667,0.0031560042,0.003386834,0.011946914,-0.07136701
4.223958333333334,0.0031878962,0.0034541686,0.011981473,-0.06941204
4.234375,0.003223039,0.0035233158,0.012019306,-0.067376286
4.244791666666667,0.0032613683,0.0035946018,0.0120603405,-0.06527804
4.255208333333334,0.0033027122,0.003668292,0.012104557,-0.06313435
4.265625,0.0033469857,0.0037446653,0.012151722,-0.06096261
4.276041666666667,0.0033938452,0.0038239225,0.01220179,-0.058779404
4.286458333333334,0.003443281,0.0039062023,0.0122546805,-0.056600187
4.296875,0.0034947782,0.003991545,0.012310214,-0.05443935
4.307291666666667,0.0035483239,0.0040799584,0.012368356,-0.052310474
4.317708333333334,0.0036034535,0.004171261,0.01242909,-0.05022656
4.328125,0.0036600092,0.004265347,0.012492317,-0.048199758
4.338541666666667,0.0037175897,0.004361893,0.012558096,-0.046241395
4.348958333333334,0.003776188,0.004460619,0.012626488,-0.04436181
4.359375,0.003835323,0.0045612254,0.012697542,-0.04256997
4.369791666666667,0.0038949405,0.0046633375,0.01277145,-0.040873654
4.380208333333334,0.0039546434,0.004766655,0.012848347,-0.03927942
4.390625,0.004014235,0.0048708334,0.012928441,-0.037792258
4.401041666666667,0.004073563,0.0049754386,0.013011894,-0.03641565
4.411458333333334,0.004132404,0.005080267,0.013098905,-0.035151634
4.421875,0.0041907905,0.0051852455,0.0131896855,-0.03400083
4.432291666666667,0.0042484156,0.0052900803,0.013284358,-0.03296216
4.442708333333334,0.0043056477,0.0053943438,0.013383024,-0.03203335
4.453125,0.0043623624,0.0054977094,0.013485724,-0.03121078
4.463541666666667,0.0044191596,0.0055996347,0.013592418,-0.030489948
4.473958333333334,0.004476235,0.0056995144,0.013702987,-0.029864073
4.484375,0.004534615,0.005796699,0.0138173755,-0.029325644
4.494791666666667,0.0045942855,0.0058902353,0.013935228,-0.028865874
4.505208333333334,0.0046566236,0.0059795785,0.014056251,-0.028475324
4.515625,0.0047218413,0.006063476,0.014180191,-0.028144943
4.526041666666667,0.0047902293,0.006141524,0.014306636,-0.027863767
4.536458333333334,0.00486226,0.0062126643,0.014435187,-0.027622528
4.546875,0.0049374937,0.0062764976,0.014565452,-0.027411388
4.557291666666667,0.0050155423,0.006332528,0.014697054,-0.027219912
4.567708333333334,0.005095497,0.00638052,0.014829607,-0.027039025
4.578125,0.0051761754,0.0064205085,0.014962743,-0.026859734
4.588541666666667,0.0052563027,0.0064525427,0.015096135,-0.026673708
4.598958333333334,0.005334059,0.0064772028,0.015229547,-0.026473701
4.609375,0.0054077567,0.0064948928,0.015362545,-0.026253402
4.619791666666667,0.0054759583,0.0065063382,0.015494959,-0.026007393
4.630208333333334,0.0055373493,0.006512819,0.015626553,-0.02573106
4.640625,0.005590934,0.0065151597,0.015757091,-0.025420811
4.651041666666667,0.005635974,0.0065148575,0.015886411,-0.025073707
4.661458333333334,0.005672098,0.006513021,0.016014418,-0.024687655
4.671875,0.0056998204,0.0065109627,0.01614094,-0.024261156
4.682291666666667,0.005719782,0.0065099415,0.016265886,-0.0237933
4.692708333333334,0.005732384,0.006511002,0.016389133,-0.02328374
4.703125,0.005738097,0.0065149977,0.016510833,-0.022732701
4.713541666666667,0.005737977,0.0065224604,0.016630935,-0.022140881
4.723958333333334,0.0057330555,0.0065336465,0.016749585,-0.02150966
4.734375,0.0057243523,0.006548409,0.016866924,-0.020841109
4.744791666666667,0.005713111,0.006566369,0.016983198,-0.020138297
4.755208333333334,0.005700682,0.006586577,0.017098684,-0.019404836
4.765625,0.0056881323,0.006607895,0.017213682,-0.018644657
4.776041666666667,0.0056764265,0.0066291103,0.017328644,-0.017862102
4.786458333333334,0.0056664357,0.0066488697,0.017443875,-0.017066875
4.796875,0.005658966,0.0066660447,0.01755977,-0.01627477
4.807291666666667,0.00565441,0.006681412,0.017676726,-0.0154988505
